Books_name,Books_Author,Books_Date,Books_Kindle,Books_Hardcover,Books_Pages,Books_Publisher,Books_Language,Books_Rating,Books_Reviews,Books_Dimensions
The Reckoning: A Novel,John Grisham,"Oct 23, 2018",$13.96 ,$12.39 ,432 pages,"Doubleday (October 23, 2018)",English,3.4 out of 5 stars,406 customer reviews,6.6 x 1.4 x 9.5 inches
Every Breath,Nicholas Sparks,"Oct 16, 2018",,$16.80 ,320 pages,"Grand Central Publishing (October 16, 2018)",English,4.7 out of 5 stars,276 customer reviews,)
"Gmorning, Gnight!: Little Pep Talks for Me & You",Lin-Manuel Miranda,"Oct 16, 2018",$13.20 ,$13.20 ,224 pages,"Random House (October 16, 2018)",English,4.6 out of 5 stars,49 customer reviews,5.2 x 0.9 x 7.8 inches
Where the Crawdads Sing,Delia Owens,"Aug 14, 2018",$16.20 ,$16.20 ,384 pages,"G.P. Putnam's Sons; 1st Edition edition (August 14, 2018)",English,4.8 out of 5 stars,"1,053 customer reviews",)
Dark Sacred Night (A Ballard and Bosch Novel),Michael Connelly,"Oct 30, 2018",$17.40 ,$17.40 ,448 pages,"Little, Brown and Company (October 30, 2018)",English,4.4 out of 5 stars,109 customer reviews,6.4 x 1.5 x 9.6 inches
Elevation,Stephen King,"Oct 30, 2018",$11.97 ,$7.55 ,160 pages,"Scribner (October 30, 2018)",English,3.6 out of 5 stars,279 customer reviews,)
Past Tense: A Jack Reacher Novel,Lee Child,"Nov 5, 2018",,$18.61 ,400 pages,"Delacorte Press (November 5, 2018)",English,4.1 out of 5 stars,38 customer reviews,6.2 x 1.2 x 9.3 inches
Unsheltered: A Novel,Barbara Kingsolver,"Oct 16, 2018",,$17.99 ,480 pages,"Harper (October 16, 2018)",English,4.0 out of 5 stars,45 customer reviews,6 x 1.3 x 9 inches
The Next Person You Meet in Heaven: The Sequel to The Five People You Meet in Heaven,Mitch Albom,"Oct 9, 2018",,$13.98 ,224 pages,"Harper (October 9, 2018)",English,4.6 out of 5 stars,109 customer reviews,5 x 0.8 x 7.2 inches
To Kill a Mockingbird,Harper Lee,"Jul 5, 2005",$17.67 ,$8.49 ,,Harper Perennial Modern Classics (2002),English,4.7 out of 5 stars,"10,290 customer reviews",)
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,"Jun 5, 2018",$15.30 ,$7.99 ,,"Penguin Books; Reprint edition (June 5, 2018)",English,4.6 out of 5 stars,"3,163 customer reviews",)
Nine Perfect Strangers,Liane Moriarty,"Nov 6, 2018",$18.61 ,$18.61 ,464 pages,"Flatiron Books (November 6, 2018)",English,3.6 out of 5 stars,26 customer reviews,)
A Spark of Light: A Novel,Jodi Picoult,"Oct 2, 2018",,$14.49 ,384 pages,"Ballantine Books; 1st edition (October 2, 2018)",English,3.3 out of 5 stars,496 customer reviews,)
The Witch Elm: A Novel,Tana French,"Oct 9, 2018",,$18.30 ,528 pages,"Viking; First Edition edition (October 9, 2018)",English,3.4 out of 5 stars,183 customer reviews,6.4 x 1.6 x 9.3 inches
"Dungeons and Dragons Art and Arcana [Special Edition, Boxed Book & Ephemera Set]: A Visual History",Michael Witwer,"Oct 23, 2018",$75.00 ,$75.00 ,448 pages,"Ten Speed Press; Special edition (October 23, 2018)",English,4.6 out of 5 stars,23 customer reviews,)
Fire & Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R. R. Martin,"Nov 20, 2018",$14.77 ,$20.99 ,736 pages,"Bantam (November 20, 2018)",English,,,152479628X
Dungeons and Dragons Art and Arcana: A Visual History,Michael Witwer,"Oct 23, 2018",$14.77 ,$34.00 ,448 pages,"Ten Speed Press (October 23, 2018)",English,4.5 out of 5 stars,27 customer reviews,9.2 x 1.3 x 12.2 inches
The Haunting of Hill House (Penguin Classics),Shirley Jackson,"Nov 28, 2006",$20.70 ,$11.09 ,,"Penguin Classics; 1 edition (November 28, 2006)",English,3.9 out of 5 stars,932 customer reviews,5.6 x 0.6 x 7.8 inches
